rowid,pl_hostname,pl_letter,ra_str,ra,dec_str,dec,con
1,11 Com,b,12h20m43.03s,12.345285066666666,+17d47m34.3s,17.792868,COM
2,11 UMi,b,15h17m05.89s,15.284969066666665,+71d49m26.0s,71.823898,UMI
3,14 And,b,23h31m17.42s,23.52150473333333,+39d14m10.3s,39.236198,AND
4,14 Her,b,16h10m24.31s,16.1734202,+43d49m03.5s,43.817646,HER
5,16 Cyg B,b,19h41m51.97s,19.6977702,+50d31m03.1s,50.517525,CYG
6,18 Del,b,20h58m25.94s,20.973870866666672,+10d50m21.4s,10.839286,DEL
7,1RXS J160929.1-210524,b,16h09m30.30s,16.158417866666667,-21d04m58.9s,-21.083036,SCO
8,24 Sex,b,10h23m28.37s,10.391214,-00d54m08.1s,-0.902244,SEX
9,24 Sex,c,10h23m28.37s,10.391214,-00d54m08.1s,-0.902244,SEX
10,2MASS J01225093-2439505,b,01h22m50.94s,1.3808162,-24d39m50.6s,-24.664049,CET
11,2MASS J02192210-3925225,b,02h19m22.11s,2.322807066666667,-39d25m22.5s,-39.42292800000001,FOR+PHE
12,2MASS J04414489+2301513,b,04h41m44.90s,4.695804866666666,+23d01m51.4s,23.030941000000002,TAU
13,2MASS J12073346-3932539,b,12h07m33.47s,12.125963133333332,-39d32m54.0s,-39.548332,CEN
14,2MASS J19383260+4603591,b,19h38m32.61s,19.642391,+46d03m59.1s,46.066418,CYG
15,2MASS J21402931+1625183 A,b,21h40m29.32s,21.674810600000004,+16d25m18.3s,16.421758999999998,PEG
16,2MASS J22362452+4751425,b,22h36m24.53s,22.60681353333333,+47d51m42.6s,47.86182,LAC
17,30 Ari B,b,02h36m57.74s,2.616039,+24d38m53.0s,24.648064,ARI
18,4 UMa,b,08h40m12.82s,8.670227066666666,+64d19m40.6s,64.327934,UMA
19,42 Dra,b,18h25m59.14s,18.433093266666667,+65d33m48.5s,65.563484,DRA
20,47 UMa,b,10h59m27.97s,10.991104133333335,+40d25m48.9s,40.430256,UMA
21,47 UMa,c,10h59m27.97s,10.991104133333335,+40d25m48.9s,40.430256,UMA
22,47 UMa,d,10h59m27.97s,10.991104133333335,+40d25m48.9s,40.430256,UMA
23,51 Eri,b,04h37m36.13s,4.626703400000001,-02d28m24.8s,-2.473548,ERI
24,51 Peg,b,22h57m27.98s,22.9577718,+20d46m07.8s,20.768832999999997,PEG
25,55 Cnc,b,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
26,55 Cnc,c,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
27,55 Cnc,d,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
28,55 Cnc,e,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
29,55 Cnc,f,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
30,6 Lyn,b,06h30m47.11s,6.5130854000000005,+58d09m45.5s,58.162631999999995,LYN
31,61 Vir,b,13h18m24.32s,13.306754533333333,-18d18m40.3s,-18.311195,VIR
32,61 Vir,c,13h18m24.32s,13.306754533333333,-18d18m40.3s,-18.311195,VIR
33,61 Vir,d,13h18m24.32s,13.306754533333333,-18d18m40.3s,-18.311195,VIR
34,7 CMa,b,06h36m41.04s,6.611399333333334,-19d15m21.2s,-19.255878,CMA
35,70 Vir,b,13h28m25.81s,13.473836266666664,+13d46m43.6s,13.778788,VIR
36,75 Cet,b,02h32m09.42s,2.5359502000000003,-01d02m05.6s,-1.0348959999999998,CET
37,8 UMi,b,14h56m48.35s,14.946765133333335,+74d54m03.3s,74.900925,UMI
38,81 Cet,b,02h37m41.80s,2.628277866666666,-03d23m46.2s,-3.396175,CET
39,91 Aqr,b,23h15m53.50s,23.26486,-09d05m15.9s,-9.087736999999999,AQR
40,AB Pic,b,06h19m12.91s,6.320253466666667,-58d03m15.5s,-58.05431,PIC
41,BD+03 2562,b,11h50m15.55s,11.8376536,+02d45m36.5s,2.7601419999999997,VIR
42,BD+14 4559,b,21h13m35.99s,21.2266642,+14d41m21.8s,14.689387,PEG
43,BD+15 2375,b,11h45m55.72s,11.765478266666666,+14d36m59.0s,14.616381,LEO
44,BD+15 2940,b,16h00m22.94s,16.006371066666667,+15d32m48.9s,15.54693,SER1
45,BD+20 1790,b,07h23m43.59s,7.395440800000001,+20d24m58.8s,20.416334,GEM
46,BD+20 2457,b,10h16m44.86s,10.279127333333333,+19d53m29.1s,19.891409,LEO
47,BD+20 2457,c,10h16m44.86s,10.279127333333333,+19d53m29.1s,19.891409,LEO
