pl_hostname,pl_letter,con
91 Aqr,b,AQR
GJ 849,b,AQR
GJ 876,b,AQR
GJ 876,c,AQR
GJ 876,d,AQR
GJ 876,e,AQR
HATS-32,b,AQR
HD 206610,b,AQR
HD 210277,b,AQR
HD 212771,b,AQR
HD 220689,b,AQR
HD 222582,b,AQR
K2-116,b,AQR
K2-21,b,AQR
K2-21,c,AQR
K2-28,b,AQR
K2-39,b,AQR
K2-54,b,AQR
K2-55,b,AQR
K2-57,b,AQR
K2-58,b,AQR
K2-58,c,AQR
K2-58,d,AQR
K2-59,b,AQR
K2-59,c,AQR
K2-60,b,AQR
K2-61,b,AQR
K2-62,b,AQR
K2-62,c,AQR
K2-63,b,AQR
K2-64,b,AQR
K2-65,b,AQR
K2-66,b,AQR
K2-68,b,AQR
K2-69,b,AQR
K2-70,b,AQR
K2-71,b,AQR
K2-72,b,AQR
K2-72,c,AQR
K2-72,d,AQR
K2-72,e,AQR
K2-73,b,AQR
K2-74,b,AQR
K2-75,b,AQR
K2-75,c,AQR
TRAPPIST-1,b,AQR
TRAPPIST-1,c,AQR
TRAPPIST-1,d,AQR
TRAPPIST-1,e,AQR
TRAPPIST-1,f,AQR
TRAPPIST-1,g,AQR
TRAPPIST-1,h,AQR
WASP-47,b,AQR
WASP-47,c,AQR
WASP-47,d,AQR
WASP-47,e,AQR
WASP-6,b,AQR
WASP-69,b,AQR
WASP-70 A,b,AQR
WASP-75,b,AQR
