pl_hostname,pl_letter,con
2MASS J12073346-3932539,b,CEN
HATS-17,b,CEN
HATS-27,b,CEN
HD 101930,b,CEN
HD 102117,b,CEN
HD 102365,b,CEN
HD 103197,b,CEN
HD 109749,b,CEN
HD 113538,b,CEN
HD 113538,c,CEN
HD 114386,b,CEN
HD 114613,b,CEN
HD 114729,b,CEN
HD 117207,b,CEN
HD 117618,b,CEN
HD 121504,b,CEN
HD 125595,b,CEN
HIP 65426,b,CEN
HIP 65891,b,CEN
HIP 67537,b,CEN
HIP 67851,b,CEN
HIP 67851,c,CEN
Proxima Cen,b,CEN
WASP-129,b,CEN
WASP-130,b,CEN
WASP-131,b,CEN
WASP-15,b,CEN
WASP-167,b,CEN
WASP-41,b,CEN
WASP-41,c,CEN
WASP-42,b,CEN
