pl_hostname,pl_letter,con
2MASS J01225093-2439505,b,CET
75 Cet,b,CET
81 Cet,b,CET
BD-17 63,b,CET
GJ 3138,b,CET
GJ 3138,c,CET
GJ 3138,d,CET
HD 11506,b,CET
HD 11506,c,CET
HD 11964,b,CET
HD 11964,c,CET
HD 1461,b,CET
HD 1461,c,CET
HD 16141,b,CET
HD 1666,b,CET
HD 1690,b,CET
HD 19994,b,CET
HD 224693,b,CET
HD 2638,b,CET
HD 4732,b,CET
HD 4732,c,CET
HD 5319,b,CET
HD 5319,c,CET
HD 6718,b,CET
HD 7449,b,CET
HD 9174,b,CET
HIP 5158,b,CET
HIP 5158,c,CET
LHS 1140,b,CET
WASP-136,b,CET
WASP-138,b,CET
WASP-156,b,CET
WASP-20,b,CET
WASP-26,b,CET
WASP-44,b,CET
WASP-53,b,CET
WASP-53,c,CET
WASP-71,b,CET
WASP-77 A,b,CET
YZ Cet,b,CET
YZ Cet,c,CET
YZ Cet,d,CET
tau Cet,e,CET
tau Cet,f,CET
tau Cet,g,CET
tau Cet,h,CET
