pl_hostname,pl_letter,con
55 Cnc,b,CNC
55 Cnc,c,CNC
55 Cnc,d,CNC
55 Cnc,e,CNC
55 Cnc,f,CNC
EPIC 211822797,b,CNC
GJ 3470,b,CNC
HAT-P-43,b,CNC
HD 73534,b,CNC
HD 75784,b,CNC
HD 79498,b,CNC
HIP 41378,b,CNC
HIP 41378,c,CNC
HIP 41378,d,CNC
HIP 41378,e,CNC
HIP 41378,f,CNC
K2-100,b,CNC
K2-101,b,CNC
K2-102,b,CNC
K2-104,b,CNC
K2-105,b,CNC
K2-108,b,CNC
K2-114,b,CNC
K2-115,b,CNC
K2-117,b,CNC
K2-117,c,CNC
K2-118,b,CNC
K2-119,b,CNC
K2-120,b,CNC
K2-121,b,CNC
K2-122,b,CNC
K2-123,b,CNC
K2-124,b,CNC
K2-34,b,CNC
K2-95,b,CNC
K2-97,b,CNC
K2-98,b,CNC
KELT-17,b,CNC
NGC 2682 Sand 364,b,CNC
NGC 2682 Sand 978,b,CNC
NGC 2682 YBP 1194,b,CNC
NGC 2682 YBP 1514,b,CNC
NGC 2682 YBP 401,b,CNC
Pr0201,b,CNC
Pr0211,b,CNC
Pr0211,c,CNC
WASP-65,b,CNC
bet Cnc,b,CNC
