pl_hostname,pl_letter,con
16 Cyg B,b,CYG
2MASS J19383260+4603591,b,CYG
HAT-P-11,b,CYG
HAT-P-17,b,CYG
HAT-P-17,c,CYG
HAT-P-7,b,CYG
HD 185269,b,CYG
HD 187123,b,CYG
HD 187123,c,CYG
HD 190360,b,CYG
HD 190360,c,CYG
HD 191806,b,CYG
HD 197037,b,CYG
KELT-16,b,CYG
KELT-20,b,CYG
KELT-9,b,CYG
KIC 10525077,b,CYG
KIC 3558849,b,CYG
KIC 7917485,b,CYG
KIC 9663113,b,CYG
KOI-12,b,CYG
KOI-1257,b,CYG
KOI-217,b,CYG
KOI-55,b,CYG
KOI-55,c,CYG
KOI-94,b,CYG
KOI-94,c,CYG
KOI-94,d,CYG
KOI-94,e,CYG
Kepler-1002,b,CYG
Kepler-1003,b,CYG
Kepler-1004,b,CYG
Kepler-1006,b,CYG
Kepler-1007,b,CYG
Kepler-1008,b,CYG
Kepler-1010,b,CYG
Kepler-1011,b,CYG
Kepler-1012,b,CYG
Kepler-1013,b,CYG
Kepler-1015,b,CYG
Kepler-1016,b,CYG
Kepler-1016,c,CYG
Kepler-1020,b,CYG
Kepler-1021,b,CYG
Kepler-1022,b,CYG
Kepler-1023,b,CYG
Kepler-1028,b,CYG
Kepler-1029,b,CYG
Kepler-1030,b,CYG
Kepler-1031,b,CYG
Kepler-1036,b,CYG
Kepler-1037,b,CYG
Kepler-1038,b,CYG
Kepler-1039,b,CYG
Kepler-1041,b,CYG
Kepler-1044,b,CYG
Kepler-1046,b,CYG
Kepler-1047,b,CYG
Kepler-1047,c,CYG
Kepler-1049,b,CYG
Kepler-1051,b,CYG
Kepler-1052,b,CYG
Kepler-1054,b,CYG
Kepler-1055,b,CYG
Kepler-1056,b,CYG
Kepler-1057,b,CYG
Kepler-1058,b,CYG
Kepler-106,b,CYG
Kepler-106,c,CYG
Kepler-106,d,CYG
Kepler-106,e,CYG
Kepler-1061,b,CYG
Kepler-1065,b,CYG
Kepler-1065,c,CYG
Kepler-1066,b,CYG
Kepler-1068,b,CYG
Kepler-1069,b,CYG
Kepler-107,b,CYG
Kepler-107,c,CYG
Kepler-107,d,CYG
Kepler-107,e,CYG
Kepler-1070,b,CYG
Kepler-1071,b,CYG
Kepler-1072,b,CYG
Kepler-1073,b,CYG
Kepler-1073,c,CYG
Kepler-1076,b,CYG
Kepler-1078,b,CYG
Kepler-1079,b,CYG
Kepler-108,b,CYG
Kepler-108,c,CYG
Kepler-1080,b,CYG
Kepler-1082,b,CYG
Kepler-1084,b,CYG
Kepler-1086,b,CYG
Kepler-1086,c,CYG
Kepler-1087,b,CYG
Kepler-1089,b,CYG
Kepler-1090,b,CYG
Kepler-1091,b,CYG
Kepler-1092,b,CYG
Kepler-1094,b,CYG
Kepler-1095,b,CYG
Kepler-1096,b,CYG
Kepler-1098,b,CYG
Kepler-1099,b,CYG
Kepler-11,b,CYG
Kepler-11,c,CYG
Kepler-11,d,CYG
Kepler-11,e,CYG
Kepler-11,f,CYG
Kepler-11,g,CYG
Kepler-110,b,CYG
Kepler-110,c,CYG
Kepler-1100,b,CYG
Kepler-1101,b,CYG
Kepler-1103,b,CYG
Kepler-1104,b,CYG
Kepler-1106,b,CYG
Kepler-1108,b,CYG
Kepler-111,b,CYG
Kepler-111,c,CYG
Kepler-1111,b,CYG
Kepler-1112,b,CYG
Kepler-1114,b,CYG
Kepler-1115,b,CYG
Kepler-1116,b,CYG
Kepler-1117,b,CYG
Kepler-1118,b,CYG
Kepler-1119,b,CYG
Kepler-112,b,CYG
Kepler-112,c,CYG
Kepler-1121,b,CYG
Kepler-1123,b,CYG
Kepler-1125,b,CYG
Kepler-1127,b,CYG
Kepler-1128,b,CYG
Kepler-113,b,CYG
Kepler-113,c,CYG
Kepler-1131,b,CYG
