pl_hostname,pl_letter,con
42 Dra,b,DRA
GJ 625,b,DRA
GJ 687,b,DRA
HAT-P-37,b,DRA
HD 109246,b,DRA
HD 113337,b,DRA
HD 139357,b,DRA
HD 143105,b,DRA
HD 156279,b,DRA
HD 163607,b,DRA
HD 163607,c,DRA
HD 167042,b,DRA
HIP 75458,b,DRA
HIP 91258,b,DRA
KOI-351,b,DRA
KOI-351,c,DRA
KOI-351,d,DRA
KOI-351,e,DRA
KOI-351,f,DRA
KOI-351,g,DRA
KOI-351,h,DRA
KOI-351,i,DRA
Kepler-10,b,DRA
Kepler-10,c,DRA
Kepler-1001,b,DRA
Kepler-101,b,DRA
Kepler-101,c,DRA
Kepler-1040,b,DRA
Kepler-1050,b,DRA
Kepler-1050,c,DRA
Kepler-1102,b,DRA
Kepler-1132,b,DRA
Kepler-1138,b,DRA
Kepler-1177,b,DRA
Kepler-1179,b,DRA
Kepler-1190,b,DRA
Kepler-12,b,DRA
Kepler-1214,b,DRA
Kepler-124,b,DRA
Kepler-124,c,DRA
Kepler-124,d,DRA
Kepler-1254,b,DRA
Kepler-1254,c,DRA
Kepler-1254,d,DRA
Kepler-1258,b,DRA
Kepler-1261,b,DRA
Kepler-1270,b,DRA
Kepler-129,b,DRA
Kepler-129,c,DRA
Kepler-1298,b,DRA
Kepler-1329,b,DRA
Kepler-1339,b,DRA
Kepler-134,b,DRA
Kepler-134,c,DRA
Kepler-1349,b,DRA
Kepler-1355,b,DRA
Kepler-1415,b,DRA
Kepler-1421,b,DRA
Kepler-1429,b,DRA
Kepler-1440,b,DRA
Kepler-1453,b,DRA
Kepler-1454,b,DRA
Kepler-1479,b,DRA
Kepler-1482,b,DRA
Kepler-1488,b,DRA
Kepler-153,b,DRA
Kepler-153,c,DRA
Kepler-1541,b,DRA
Kepler-1596,b,DRA
Kepler-1614,b,DRA
Kepler-1637,b,DRA
Kepler-1639,b,DRA
Kepler-1644,b,DRA
Kepler-165,b,DRA
Kepler-165,c,DRA
Kepler-1651,b,DRA
Kepler-229,b,DRA
Kepler-229,c,DRA
Kepler-229,d,DRA
Kepler-230,b,DRA
Kepler-230,c,DRA
Kepler-296,b,DRA
Kepler-296,c,DRA
Kepler-296,d,DRA
Kepler-296,e,DRA
Kepler-296,f,DRA
Kepler-297,b,DRA
Kepler-297,c,DRA
Kepler-298,b,DRA
Kepler-298,c,DRA
Kepler-298,d,DRA
Kepler-299,b,DRA
Kepler-299,c,DRA
Kepler-299,d,DRA
Kepler-299,e,DRA
Kepler-301,b,DRA
Kepler-301,c,DRA
Kepler-301,d,DRA
Kepler-324,b,DRA
Kepler-324,c,DRA
Kepler-380,b,DRA
Kepler-380,c,DRA
Kepler-4,b,DRA
Kepler-407,b,DRA
Kepler-407,c,DRA
Kepler-408,b,DRA
Kepler-441,b,DRA
Kepler-447,b,DRA
Kepler-486,b,DRA
Kepler-488,b,DRA
Kepler-513,b,DRA
Kepler-514,b,DRA
Kepler-52,b,DRA
Kepler-52,c,DRA
Kepler-52,d,DRA
Kepler-529,b,DRA
Kepler-529,c,DRA
Kepler-530,b,DRA
Kepler-531,b,DRA
Kepler-551,b,DRA
Kepler-569,b,DRA
Kepler-571,b,DRA
Kepler-588,b,DRA
Kepler-589,b,DRA
Kepler-591,b,DRA
Kepler-592,b,DRA
Kepler-618,b,DRA
Kepler-661,b,DRA
Kepler-668,b,DRA
Kepler-674,b,DRA
Kepler-811,b,DRA
Kepler-813,b,DRA
Kepler-814,b,DRA
Kepler-815,b,DRA
Kepler-841,b,DRA
Kepler-846,b,DRA
Kepler-847,b,DRA
Kepler-853,b,DRA
Kepler-883,b,DRA
Kepler-920,b,DRA
Kepler-920,c,DRA
Kepler-921,b,DRA
Kepler-922,b,DRA
Kepler-968,b,DRA
Kepler-968,c,DRA
Qatar-1,b,DRA
TrES-2,b,DRA
psi 1 Dra B,b,DRA
