pl_hostname,pl_letter,con
51 Eri,b,ERI
GJ 3293,b,ERI
GJ 3293,c,ERI
GJ 3293,d,ERI
GJ 3293,e,ERI
GJ 3323,b,ERI
GJ 3323,c,ERI
GJ 86,b,ERI
HATS-5,b,ERI
HD 10647,b,ERI
HD 18742,b,ERI
HD 20794,b,ERI
HD 20794,c,ERI
HD 20794,d,ERI
HD 20794,e,ERI
HD 28185,b,ERI
HD 30562,b,ERI
HD 30856,b,ERI
HIP 12961,b,ERI
HIP 8541,b,ERI
WASP-117,b,ERI
WASP-139,b,ERI
WASP-140,b,ERI
WASP-141,b,ERI
WASP-22,b,ERI
WASP-35,b,ERI
WASP-50,b,ERI
WASP-78,b,ERI
WASP-79,b,ERI
WASP-97,b,ERI
WASP-98,b,ERI
WASP-99,b,ERI
eps Eri,b,ERI
