pl_hostname,pl_letter,con
BD+15 2375,b,LEO
BD+20 2457,b,LEO
BD+20 2457,c,LEO
DP Leo,b,LEO
GJ 436,b,LEO
HD 100655,b,LEO
HD 100777,b,LEO
HD 102272,b,LEO
HD 81040,b,LEO
HD 87646,b,LEO
HD 88133,b,LEO
HD 89307,b,LEO
HD 95089,b,LEO
HD 96063,b,LEO
HD 97658,b,LEO
HD 99109,b,LEO
HD 99492,b,LEO
K2-10,b,LEO
K2-11,b,LEO
K2-12,b,LEO
K2-13,b,LEO
K2-18,b,LEO
K2-22,b,LEO
K2-27,b,LEO
K2-3,b,LEO
K2-3,c,LEO
K2-3,d,LEO
K2-35,b,LEO
K2-35,c,LEO
K2-36,b,LEO
K2-36,c,LEO
K2-43,b,LEO
K2-44,b,LEO
K2-45,b,LEO
K2-46,b,LEO
K2-47,b,LEO
K2-5,b,LEO
K2-5,c,LEO
K2-50,b,LEO
K2-7,b,LEO
K2-8,b,LEO
K2-8,c,LEO
KELT-4 A,b,LEO
TYC 1422-614-1,b,LEO
TYC 1422-614-1,c,LEO
WASP-104,b,LEO
WASP-106,b,LEO
gam 1 Leo,b,LEO
mu Leo,b,LEO
