pl_hostname,pl_letter,con
HAT-P-5,b,LYR
HD 173416,b,LYR
HD 177830,b,LYR
HD 177830,c,LYR
HD 178911 B,b,LYR
HD 180314,b,LYR
KIC 10001893,b,LYR
KIC 10001893,c,LYR
KIC 10001893,d,LYR
KIC 5437945,b,LYR
KIC 5951458,b,LYR
KOI-7892,b,LYR
KOI-7892,c,LYR
KOI-13,b,LYR
KOI-142,b,LYR
KOI-142,c,LYR
Kepler-100,b,LYR
Kepler-100,c,LYR
Kepler-100,d,LYR
Kepler-1000,b,LYR
Kepler-1005,b,LYR
Kepler-1009,b,LYR
Kepler-1014,b,LYR
Kepler-1017,b,LYR
Kepler-1018,b,LYR
Kepler-1019,b,LYR
Kepler-102,b,LYR
Kepler-102,c,LYR
Kepler-102,d,LYR
Kepler-102,e,LYR
Kepler-102,f,LYR
Kepler-1024,b,LYR
Kepler-1025,b,LYR
Kepler-1026,b,LYR
Kepler-1027,b,LYR
Kepler-103,b,LYR
Kepler-103,c,LYR
Kepler-1032,b,LYR
Kepler-1033,b,LYR
Kepler-1034,b,LYR
Kepler-1035,b,LYR
Kepler-104,b,LYR
Kepler-104,c,LYR
Kepler-104,d,LYR
Kepler-1042,b,LYR
Kepler-1043,b,LYR
Kepler-1045,b,LYR
Kepler-1048,b,LYR
Kepler-105,b,LYR
Kepler-105,c,LYR
Kepler-1053,b,LYR
Kepler-1059,b,LYR
Kepler-1060,b,LYR
Kepler-1062,b,LYR
Kepler-1063,b,LYR
Kepler-1064,b,LYR
Kepler-1067,b,LYR
Kepler-1074,b,LYR
Kepler-1075,b,LYR
Kepler-1077,b,LYR
Kepler-1081,b,LYR
Kepler-1083,b,LYR
Kepler-1085,b,LYR
Kepler-1088,b,LYR
Kepler-109,b,LYR
Kepler-109,c,LYR
Kepler-1093,b,LYR
Kepler-1093,c,LYR
Kepler-1097,b,LYR
Kepler-1105,b,LYR
Kepler-1107,b,LYR
Kepler-1109,b,LYR
Kepler-1110,b,LYR
Kepler-1113,b,LYR
Kepler-1120,b,LYR
Kepler-1122,b,LYR
Kepler-1124,b,LYR
Kepler-1126,b,LYR
Kepler-1129,b,LYR
Kepler-1129,c,LYR
Kepler-1130,b,LYR
Kepler-1135,b,LYR
Kepler-1136,b,LYR
Kepler-1139,b,LYR
Kepler-1140,b,LYR
Kepler-1143,b,LYR
Kepler-1143,c,LYR
Kepler-1146,b,LYR
Kepler-1155,b,LYR
Kepler-1157,b,LYR
Kepler-1160,b,LYR
Kepler-1162,b,LYR
Kepler-1164,b,LYR
Kepler-1165,b,LYR
Kepler-1168,b,LYR
Kepler-1172,b,LYR
Kepler-1174,b,LYR
Kepler-1181,b,LYR
Kepler-1185,b,LYR
Kepler-1187,b,LYR
Kepler-1188,b,LYR
Kepler-1192,b,LYR
Kepler-1194,b,LYR
Kepler-1195,b,LYR
Kepler-1197,b,LYR
Kepler-120,b,LYR
Kepler-120,c,LYR
Kepler-1204,b,LYR
Kepler-1205,b,LYR
Kepler-121,b,LYR
Kepler-121,c,LYR
Kepler-1211,b,LYR
Kepler-1216,b,LYR
Kepler-122,b,LYR
Kepler-122,c,LYR
Kepler-122,d,LYR
Kepler-122,e,LYR
Kepler-122,f,LYR
Kepler-1221,b,LYR
Kepler-1223,b,LYR
Kepler-1224,b,LYR
Kepler-1225,b,LYR
Kepler-1227,b,LYR
Kepler-1230,b,LYR
Kepler-1231,b,LYR
Kepler-1235,b,LYR
Kepler-1240,b,LYR
Kepler-1242,b,LYR
Kepler-1244,b,LYR
Kepler-1245,b,LYR
Kepler-1245,c,LYR
Kepler-1250,b,LYR
Kepler-1253,b,LYR
Kepler-1262,b,LYR
Kepler-1263,b,LYR
Kepler-1265,b,LYR
Kepler-1266,b,LYR
Kepler-1268,b,LYR
Kepler-1269,b,LYR
Kepler-127,b,LYR
Kepler-127,c,LYR
Kepler-127,d,LYR
Kepler-1271,b,LYR
Kepler-1272,b,LYR
Kepler-1273,b,LYR
Kepler-1274,b,LYR
Kepler-1276,b,LYR
Kepler-1278,b,LYR
Kepler-1279,b,LYR
Kepler-128,b,LYR
Kepler-128,c,LYR
Kepler-1285,b,LYR
Kepler-1286,b,LYR
Kepler-1288,b,LYR
Kepler-1291,b,LYR
Kepler-1292,b,LYR
Kepler-1299,b,LYR
Kepler-130,b,LYR
Kepler-130,c,LYR
Kepler-130,d,LYR
Kepler-1300,b,LYR
Kepler-1301,b,LYR
Kepler-1303,b,LYR
Kepler-1304,b,LYR
Kepler-1308,b,LYR
Kepler-131,b,LYR
Kepler-131,c,LYR
Kepler-1310,b,LYR
Kepler-1317,b,LYR
Kepler-1318,b,LYR
Kepler-132,b,LYR
Kepler-132,c,LYR
Kepler-132,d,LYR
Kepler-132,e,LYR
Kepler-1320,b,LYR
Kepler-1324,b,LYR
Kepler-1325,b,LYR
Kepler-1328,b,LYR
Kepler-1330,b,LYR
Kepler-1335,b,LYR
Kepler-1337,b,LYR
Kepler-1338,b,LYR
Kepler-1341,b,LYR
Kepler-1344,b,LYR
Kepler-135,b,LYR
Kepler-135,c,LYR
Kepler-1350,b,LYR
Kepler-1350,c,LYR
Kepler-1354,b,LYR
Kepler-1356,b,LYR
Kepler-1358,b,LYR
Kepler-1359,b,LYR
Kepler-1361,b,LYR
Kepler-1362,b,LYR
Kepler-1366,b,LYR
Kepler-1369,b,LYR
Kepler-137,b,LYR
Kepler-137,c,LYR
Kepler-1370,b,LYR
Kepler-1370,c,LYR
Kepler-1373,b,LYR
Kepler-1376,b,LYR
Kepler-138,b,LYR
Kepler-138,c,LYR
Kepler-138,d,LYR
Kepler-1380,b,LYR
Kepler-1385,b,LYR
Kepler-1386,b,LYR
Kepler-1388,b,LYR
Kepler-1388,c,LYR
Kepler-1388,d,LYR
Kepler-1388,e,LYR
Kepler-1389,b,LYR
Kepler-139,b,LYR
Kepler-139,c,LYR
Kepler-1393,b,LYR
Kepler-1394,b,LYR
Kepler-14,b,LYR
Kepler-140,b,LYR
Kepler-140,c,LYR
Kepler-1400,b,LYR
Kepler-1401,b,LYR
Kepler-1403,b,LYR
Kepler-1406,b,CYG+LYR
Kepler-1407,b,LYR
Kepler-1408,b,LYR
Kepler-1410,b,LYR
Kepler-1411,b,LYR
Kepler-1414,b,LYR
Kepler-1417,b,LYR
Kepler-1418,b,LYR
Kepler-1423,b,LYR
Kepler-1424,b,LYR
Kepler-1430,b,LYR
Kepler-1438,b,LYR
Kepler-1439,b,LYR
Kepler-144,b,LYR
Kepler-144,c,LYR
Kepler-1443,b,LYR
Kepler-1444,b,LYR
Kepler-1445,b,LYR
Kepler-1456,b,LYR
Kepler-1457,b,LYR
Kepler-1458,b,LYR
Kepler-1459,b,LYR
Kepler-1460,b,LYR
Kepler-1461,b,LYR
Kepler-1464,b,LYR
Kepler-1464,c,LYR
Kepler-147,b,LYR
Kepler-147,c,LYR
Kepler-1470,b,LYR
Kepler-1476,b,LYR
Kepler-1477,b,LYR
Kepler-1489,b,LYR
Kepler-149,b,LYR
Kepler-149,c,LYR
Kepler-149,d,LYR
Kepler-1492,b,LYR
Kepler-1493,b,LYR
Kepler-1494,b,LYR
Kepler-1495,b,LYR
Kepler-1498,b,LYR
Kepler-1499,b,LYR
Kepler-150,b,LYR
Kepler-150,c,LYR
Kepler-150,d,LYR
Kepler-150,e,LYR
Kepler-150,f,LYR
Kepler-1500,b,LYR
Kepler-1501,b,LYR
Kepler-1505,b,LYR
Kepler-1506,b,LYR
Kepler-1509,b,LYR
Kepler-1511,b,LYR
Kepler-1513,b,LYR
Kepler-1517,b,LYR
Kepler-152,b,LYR
Kepler-152,c,LYR
Kepler-1526,b,LYR
Kepler-1528,b,LYR
Kepler-1529,b,LYR
Kepler-1531,b,LYR
Kepler-1535,b,LYR
Kepler-1538,b,LYR
Kepler-1539,b,LYR
Kepler-1540,b,LYR
Kepler-1542,b,LYR
Kepler-1542,c,LYR
Kepler-1542,d,LYR
Kepler-1542,e,LYR
Kepler-1547,b,LYR
Kepler-1548,b,LYR
Kepler-1549,b,LYR
Kepler-1550,b,LYR
Kepler-1552,b,LYR
Kepler-1553,b,LYR
Kepler-1554,b,LYR
Kepler-1555,b,LYR
Kepler-1556,b,LYR
Kepler-1558,b,LYR
Kepler-156,b,LYR
Kepler-156,c,LYR
Kepler-1566,b,LYR
Kepler-1567,b,LYR
Kepler-157,b,LYR
Kepler-157,c,LYR
Kepler-157,d,LYR
Kepler-1572,b,LYR
Kepler-1576,b,LYR
Kepler-158,b,LYR
Kepler-158,c,LYR
Kepler-1580,b,LYR
Kepler-1581,b,LYR
Kepler-1582,b,LYR
Kepler-1583,b,LYR
Kepler-1584,b,LYR
Kepler-1595,b,LYR
Kepler-1597,b,LYR
Kepler-1599,b,LYR
Kepler-160,b,LYR
Kepler-160,c,LYR
Kepler-1600,b,LYR
Kepler-1601,b,LYR
Kepler-1604,b,LYR
Kepler-1605,b,LYR
Kepler-1606,b,LYR
Kepler-1609,b,LYR
Kepler-161,b,LYR
Kepler-161,c,LYR
Kepler-1613,b,LYR
Kepler-1615,b,LYR
Kepler-1616,b,LYR
Kepler-1617,b,LYR
Kepler-1619,b,LYR
Kepler-1627,b,LYR
Kepler-1628,b,LYR
Kepler-1629,b,LYR
Kepler-1635,b,LYR
Kepler-164,b,LYR
Kepler-164,c,LYR
Kepler-164,d,LYR
Kepler-1646,b,LYR
Kepler-169,b,LYR
Kepler-169,c,LYR
Kepler-169,d,LYR
Kepler-169,e,LYR
Kepler-169,f,LYR
Kepler-170,b,LYR
Kepler-170,c,LYR
Kepler-172,b,LYR
Kepler-172,c,LYR
Kepler-172,d,LYR
Kepler-172,e,LYR
Kepler-174,b,LYR
Kepler-174,c,LYR
Kepler-174,d,LYR
Kepler-177,b,LYR
Kepler-177,c,LYR
Kepler-178,b,LYR
Kepler-178,c,LYR
Kepler-178,d,LYR
Kepler-184,b,LYR
Kepler-184,c,LYR
Kepler-184,d,LYR
Kepler-185,b,LYR
Kepler-185,c,LYR
Kepler-188,b,LYR
Kepler-188,c,LYR
Kepler-189,b,LYR
Kepler-189,c,LYR
Kepler-19,b,LYR
Kepler-19,c,LYR
Kepler-19,d,LYR
Kepler-192,b,LYR
Kepler-192,c,LYR
Kepler-192,d,LYR
Kepler-196,b,LYR
Kepler-196,c,LYR
Kepler-198,b,LYR
Kepler-198,c,LYR
Kepler-198,d,LYR
Kepler-20,b,LYR
Kepler-20,c,LYR
Kepler-20,d,LYR
Kepler-20,e,LYR
Kepler-20,f,LYR
Kepler-20,g,LYR
Kepler-200,b,LYR
Kepler-200,c,LYR
Kepler-202,b,LYR
Kepler-202,c,LYR
Kepler-204,b,LYR
Kepler-204,c,LYR
Kepler-205,b,LYR
Kepler-205,c,LYR
Kepler-206,b,LYR
Kepler-206,c,LYR
Kepler-206,d,LYR
Kepler-207,b,LYR
Kepler-207,c,LYR
Kepler-207,d,LYR
