pl_hostname,pl_letter,con
CoRoT-25,b,OPH
CoRoT-26,b,OPH
CoRoT-29,b,OPH
CoRoT-6,b,OPH
GJ 1214,b,OPH
GJ 3998,b,OPH
GJ 3998,c,OPH
HAT-P-57,b,OPH
HD 148427,b,OPH
HD 149143,b,OPH
HD 152581,b,OPH
HD 155233,b,OPH
HD 156846,b,OPH
HD 159243,b,OPH
HD 159243,c,OPH
HD 164509,b,OPH
HD 170469,b,OPH
HD 171028,b,OPH
K2-32,b,OPH
K2-32,c,OPH
K2-32,d,OPH
MOA-bin-1L,b,OPH
MXB 1658-298,b,OPH
OGLE-2011-BLG-0251L,b,OPH
OGLE-2012-BLG-0026L,b,OPH
OGLE-2012-BLG-0026L,c,OPH
OGLE-2012-BLG-0358L,b,OPH
ROXs 42 B,b,OPH
SR 12 AB,c,OPH
Wolf 1061,b,OPH
Wolf 1061,c,OPH
Wolf 1061,d,OPH
nu Oph,b,OPH
nu Oph,c,OPH
