pl_hostname,pl_letter,con
BD+20 274,b,PSC
EPIC 220674823,b,PSC
EPIC 220674823,c,PSC
GU Psc,b,PSC
HAT-P-51,b,PSC
HD 10442,b,PSC
HD 10697,b,PSC
HD 12484,b,PSC
HD 1502,b,PSC
HD 217107,b,PSC
HD 217107,c,PSC
HD 217786,b,PSC
HD 218566,b,PSC
HD 3167,b,PSC
HD 3167,c,PSC
HD 3167,d,PSC
HD 3651,b,PSC
HD 4203,b,PSC
HD 4203,c,PSC
HD 4313,b,PSC
HD 5891,b,PSC
HD 8574,b,PSC
HIP 116454,b,PSC
K2-113,b,PSC
K2-135,b,PSC
K2-135,c,PSC
K2-135,d,PSC
WASP-118,b,PSC
WASP-151,b,PSC
WASP-28,b,PSC
WASP-32,b,PSC
WASP-76,b,PSC
