pl_hostname,pl_letter,con
HATS-10,b,SGR
HATS-11,b,SGR
HATS-12,b,SGR
HATS-8,b,SGR
HATS-9,b,SGR
HD 164604,b,SGR
HD 165155,b,SGR
HD 169830,b,SGR
HD 169830,c,SGR
HD 171238,b,SGR
HD 179949,b,SGR
HD 180902,b,SGR
HD 181342,b,SGR
HD 181720,b,SGR
HD 187085,b,SGR
HD 190647,b,SGR
K2-107,b,SGR
K2-129,b,SGR
K2-130,b,SGR
K2-139,b,SGR
MOA-2007-BLG-192L,b,SGR
MOA-2007-BLG-400L,b,SGR
MOA-2008-BLG-379L,b,SGR
MOA-2009-BLG-319L,b,SGR
MOA-2010-BLG-073L,b,SGR
MOA-2010-BLG-353L,b,SGR
MOA-2010-BLG-477L,b,SGR
MOA-2011-BLG-028L,b,SGR
MOA-2011-BLG-262L,b,SGR
MOA-2011-BLG-293L,b,SGR
MOA-2011-BLG-322L,b,SGR
MOA-2012-BLG-006L,b,SGR
MOA-2013-BLG-605L,b,SGR
MOA-2016-BLG-227L,b,SGR
OGLE-2003-BLG-235L,b,SGR
OGLE-2005-BLG-169L,b,SGR
OGLE-2007-BLG-349L A,c,SGR
OGLE-2008-BLG-355L,b,SGR
OGLE-2011-BLG-0265L,b,SGR
OGLE-2012-BLG-0563L,b,SGR
OGLE-2012-BLG-0724L,b,SGR
OGLE-2012-BLG-0950L,b,SGR
OGLE-2013-BLG-0132L,b,SGR
OGLE-2013-BLG-0341L B,b,SGR
OGLE-2014-BLG-0124L,b,SGR
OGLE-2014-BLG-1760,b,SGR
OGLE-2015-BLG-0051L,b,SGR
OGLE-2015-BLG-0954L,b,SGR
OGLE-2015-BLG-0966L,b,SGR
OGLE-2016-BLG-0263L,b,SGR
OGLE-2016-BLG-0613L AB,b,SGR
OGLE-2016-BLG-1190L,b,SGR
OGLE-TR-056,b,SGR
OGLE-TR-10,b,SGR
SWEEPS-11,b,SGR
SWEEPS-4,b,SGR
WASP-123,b,SGR
WASP-67,b,SGR
