pl_hostname,pl_letter,con
2MASS J04414489+2301513,b,TAU
BD+20 594,b,TAU
DH Tau,b,TAU
FU Tau,b,TAU
HD 24040,b,TAU
HD 285507,b,TAU
HD 285968,b,TAU
HD 28678,b,TAU
HD 32963,b,TAU
HD 37124,b,TAU
HD 37124,c,TAU
HD 37124,d,TAU
K2-111,b,TAU
K2-133,b,TAU
K2-133,c,TAU
K2-133,d,TAU
K2-136,b,TAU
K2-136,c,TAU
K2-136,d,TAU
K2-25,b,TAU
K2-29,b,TAU
K2-30,b,TAU
K2-77,b,TAU
K2-79,b,TAU
K2-80,b,TAU
K2-80,c,TAU
K2-81,b,TAU
K2-83,b,TAU
K2-83,c,TAU
K2-84,b,TAU
K2-84,c,TAU
K2-85,b,TAU
K2-86,b,TAU
K2-87,b,TAU
K2-88,b,TAU
K2-89,b,TAU
K2-90,b,TAU
K2-90,c,TAU
K2-91,b,TAU
LkCa 15,b,TAU
LkCa 15,c,TAU
TAP 26,b,TAU
V830 Tau,b,TAU
alf Tau,b,TAU
eps Tau,b,TAU
