pl_hostname,pl_letter,con
61 Vir,b,VIR
61 Vir,c,VIR
61 Vir,d,VIR
70 Vir,b,VIR
BD+03 2562,b,VIR
GJ 504,b,VIR
GJ 536,b,VIR
HAT-P-26,b,VIR
HAT-P-27,b,VIR
HD 102195,b,VIR
HD 102329,b,VIR
HD 103720,b,VIR
HD 106252,b,VIR
HD 106270,b,VIR
HD 106315,b,VIR
HD 106315,c,VIR
HD 106515 A,b,VIR
HD 107148,b,VIR
HD 109271,b,VIR
HD 109271,c,VIR
HD 110014,b,VIR
HD 111998,b,VIR
HD 114783,b,VIR
HD 125612,b,VIR
HD 125612,c,VIR
HD 125612,d,VIR
HD 126614,b,VIR
HD 130322,b,VIR
K2-110,b,VIR
K2-125,b,VIR
K2-126,b,VIR
K2-127,b,VIR
K2-128,b,VIR
K2-131,b,VIR
K2-132,b,VIR
K2-137,b,VIR
K2-14,b,VIR
K2-15,b,VIR
K2-16,b,VIR
K2-16,c,VIR
K2-17,b,VIR
K2-19,b,VIR
K2-19,c,VIR
K2-19,d,VIR
K2-4,b,VIR
K2-42,b,VIR
K2-48,b,VIR
K2-49,b,VIR
K2-6,b,VIR
K2-9,b,VIR
K2-99,b,VIR
NY Vir,b,VIR
PSR B1257+12,b,VIR
PSR B1257+12,c,VIR
PSR B1257+12,d,VIR
Qatar-2,b,VIR
Ross 128,b,VIR
Ross 458,c,VIR
WASP-107,b,VIR
WASP-157,b,VIR
WASP-16,b,VIR
WASP-24,b,VIR
WASP-37,b,VIR
WASP-39,b,VIR
WASP-54,b,VIR
WASP-55,b,VIR
WASP-85 A,b,VIR
