# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Dec 17 16:28:38 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
#
rowid,pl_hostname,pl_letter,ra_str,ra,dec_str,dec
1,11 Com,b,12h20m43.03s,185.179276,+17d47m34.3s,17.792868
2,11 UMi,b,15h17m05.89s,229.274536,+71d49m26.0s,71.823898
3,14 And,b,23h31m17.42s,352.822571,+39d14m10.3s,39.236198
4,14 Her,b,16h10m24.31s,242.601303,+43d49m03.5s,43.817646
5,16 Cyg B,b,19h41m51.97s,295.466553,+50d31m03.1s,50.517525
6,18 Del,b,20h58m25.94s,314.608063,+10d50m21.4s,10.839286
7,1RXS J160929.1-210524,b,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036
8,24 Sex,b,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244
9,24 Sex,c,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244
10,2MASS J01225093-2439505,b,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049
11,2MASS J02192210-3925225,b,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928
12,2MASS J04414489+2301513,b,04h41m44.90s,70.437073,+23d01m51.4s,23.030941
13,2MASS J12073346-3932539,b,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332
14,2MASS J19383260+4603591,b,19h38m32.61s,294.635865,+46d03m59.1s,46.066418
15,2MASS J21402931+1625183 A,b,21h40m29.32s,325.122159,+16d25m18.3s,16.421759
16,2MASS J22362452+4751425,b,22h36m24.53s,339.102203,+47d51m42.6s,47.861820
17,30 Ari B,b,02h36m57.74s,39.240585,+24d38m53.0s,24.648064
18,4 UMa,b,08h40m12.82s,130.053406,+64d19m40.6s,64.327934
19,42 Dra,b,18h25m59.14s,276.496399,+65d33m48.5s,65.563484
20,47 UMa,b,10h59m27.97s,164.866562,+40d25m48.9s,40.430256
21,47 UMa,c,10h59m27.97s,164.866562,+40d25m48.9s,40.430256
22,47 UMa,d,10h59m27.97s,164.866562,+40d25m48.9s,40.430256
23,51 Eri,b,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548
24,51 Peg,b,22h57m27.98s,344.366577,+20d46m07.8s,20.768833
25,55 Cnc,b,08h52m35.81s,133.149216,+28d19m50.9s,28.330818
26,55 Cnc,c,08h52m35.81s,133.149216,+28d19m50.9s,28.330818
27,55 Cnc,d,08h52m35.81s,133.149216,+28d19m50.9s,28.330818
28,55 Cnc,e,08h52m35.81s,133.149216,+28d19m50.9s,28.330818
29,55 Cnc,f,08h52m35.81s,133.149216,+28d19m50.9s,28.330818
30,6 Lyn,b,06h30m47.11s,97.696281,+58d09m45.5s,58.162632
31,61 Vir,b,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195
32,61 Vir,c,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195
33,61 Vir,d,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195
34,7 CMa,b,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878
35,70 Vir,b,13h28m25.81s,202.107544,+13d46m43.6s,13.778788
36,75 Cet,b,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896
37,8 UMi,b,14h56m48.35s,224.201477,+74d54m03.3s,74.900925
38,81 Cet,b,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175
39,91 Aqr,b,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737
40,AB Pic,b,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310
41,BD+03 2562,b,11h50m15.55s,177.564804,+02d45m36.5s,2.760142
42,BD+14 4559,b,21h13m35.99s,318.399963,+14d41m21.8s,14.689387
43,BD+15 2375,b,11h45m55.72s,176.482174,+14d36m59.0s,14.616381
44,BD+15 2940,b,16h00m22.94s,240.095566,+15d32m48.9s,15.546930
45,BD+20 1790,b,07h23m43.59s,110.931612,+20d24m58.8s,20.416334
46,BD+20 2457,b,10h16m44.86s,154.186910,+19d53m29.1s,19.891409
